user_id,company_id,show_id
1004269,1001168,1001966
1002970,1002523,1004941
1001140,1003771,1002532
1003858,1004402,1001776
1002459,1001677,1001776
1001806,1002289,1003428
1001476,1000438,1001960
1003554,1004660,1001023
1001445,1001938,1003374
1004025,1002921,1003303
1003658,1002505,1004213
1003884,1000861,1003097
1002964,1002184,1004826
1003127,1000734,1004522
1001808,1004596,1000934
1004793,1002080,1002824
1003802,1002922,1001208
1004256,1001853,1003982
1000504,1000646,1001264
1002016,1004068,1000409
1000313,1002046,1002147
1000568,1004338,1002930
1002099,1004689,1004888
1004113,1004881,1001221
1001935,1000904,1004166
1002627,1004611,1004308
1000809,1004527,1000733
1001900,1001216,1000894
1003427,1000574,1002349
1002430,1002996,1000099
1003069,1002138,1000053
1004235,1004921,1000653
1000040,1002398,1000987
1001157,1002036,1003041
1001396,1003202,1003837
1003919,1004065,1004041
1000449,1002300,1000355
1001970,1002103,1003232
1000576,1004809,1004124
1000655,1003263,1004295
1000134,1004262,1000126
1002971,1000500,1002677
1002953,1002595,1004393
1002032,1000578,1001774
1000394,1002811,1002222
1002821,1000318,1000916
1004276,1003650,1004986
1003142,1001936,1003637
1001788,1000379,1004332
1000303,1004706,1004659
1000826,1000963,1004324
1003390,1001329,1000369
1000035,1004795,1004197
1004311,1004969,1000917
1001485,1002926,1000514
1001891,1003706,1003720
1002216,1000668,1000846
1004233,1001999,1003300
1001504,1004326,1003000
1002373,1004504,1003430
1001853,1000158,1004462
1000854,1004585,1002735
1000001,1002742,1001609
1002670,1004940,1001625
1004530,1000715,1001184
1003380,1004077,1004613
1001342,1000718,1002846
1001853,1002518,1002872
1004285,1001988,1003015
1000981,1000242,1003781
1003681,1004012,1000235
1004635,1002634,1003268
1000988,1001635,1004450
1001154,1003821,1004580
1003229,1000834,1001953
1000814,1004257,1001127
1001420,1004080,1003942
1000062,1002037,1002286
1003916,1001684,1000778
1003022,1003907,1000466
1004326,1000052,1001048
1002258,1004515,1001083
1001584,1004088,1000016
1002325,1004616,1002196
1001479,1001047,1000199
1002270,1002594,1003730
1004352,1002092,1000711
1003121,1002290,1003650
1003335,1000762,1000794
1001873,1001858,1003872
1002443,1002271,1003582
1001855,1000134,1002682
1003252,1002628,1003557
1000159,1000476,1001474
1003115,1003437,1001684
1002829,1000300,1000052
1000628,1004766,1000184
1000648,1001864,1001221
1000039,1000302,1002152
1002599,1001072,1002978
1002188,1000370,1002301
1001854,1004730,1002205
1003860,1000534,1004665
1002376,1002510,1000132
1000390,1000928,1000735
1004428,1000024,1002814
1004840,1000689,1002216
1000925,1001450,1002354
1003349,1002225,1003213
1003730,1001251,1001092
1001010,1004445,1003788
1001216,1000145,1001797
1003412,1004837,1001767
1000975,1000999,1002217
1002801,1000005,1002322
1001280,1003993,1001607
1004650,1004922,1001598
1000977,1002994,1001076
1000981,1003904,1000257
1000561,1003863,1001702
1002703,1001940,1000029
1000059,1000881,1002574
1002475,1001263,1001622
1001657,1002192,1003079
1000397,1004129,1003619
1004075,1002121,1002713
1000330,1003417,1001656
1002198,1001970,1003808
1003657,1000101,1004183
1001055,1002164,1000183
1000135,1003648,1002531
1003529,1003668,1000280
1004578,1003252,1001343
1002763,1003798,1002963
1004583,1004033,1001078
1001065,1001216,1002069
1001454,1000579,1000734
1001326,1002575,1004963
1001963,1003856,1000004
1001279,1001114,1000317
1001547,1003383,1002699
1003065,1002958,1001220
1004306,1004556,1004132
1004796,1004178,1003447
1003644,1002298,1004167
1003608,1004705,1001493
1003566,1004039,1002334
1002654,1000342,1004712
1004367,1001198,1001892
1004772,1000349,1002601
1002798,1004172,1000605
1000254,1001517,1002150
1004708,1001933,1002142
1001273,1004041,1003022
1004597,1000174,1004098
1002715,1000925,1001974
1004134,1000516,1003794
1001575,1003023,1001479
1001627,1000094,1000907
1004776,1003409,1003771
1000636,1003756,1002516
1003692,1001710,1002627
1004452,1000385,1000488
1001677,1001640,1002911
1004925,1003406,1004335
1003124,1002715,1004065
1001556,1000619,1000767
1001181,1001986,1000944
1002305,1000219,1000061
1002431,1001158,1002202
1001678,1002093,1003244
1001065,1002763,1000253
1000466,1003127,1001790
1004157,1001488,1004160
1000380,1004625,1002009
1003786,1000550,1001241
1002032,1001837,1002689
1001916,1004763,1004005
1000720,1002574,1003864
1001200,1001320,1002936
1000826,1001500,1002884
1004300,1004331,1002065
1004674,1004224,1001762
1002976,1003588,1004878
1000430,1000895,1000572
1001103,1001177,1002471
1004851,1002236,1001676
1000532,1003817,1004143
1002172,1001830,1002321
1002386,1004330,1001388
1003772,1000531,1001156
1004003,1002748,1004596
1003453,1004214,1002507
1002721,1004032,1001153
1002140,1003292,1002817
1001006,1003926,1003496
1001470,1004548,1000768
1000219,1003106,1003863
1000473,1000099,1004137
1000150,1002799,1003473
1001838,1001799,1001407
1003264,1001365,1002790
1000875,1000037,1003476
1000813,1004500,1002725
1001478,1003948,1002429
1004849,1001868,1000167
1002774,1002003,1000339
1003021,1003435,1002291
1000106,1000509,1000204
1002192,1003291,1004555
1004631,1003718,1001917
1001314,1002614,1003165
1001292,1000665,1001375
1002193,1001892,1001769
1000338,1004422,1004977
1001427,1002430,1001944
1001877,1000201,1001110
1001035,1003248,1002768
1002293,1003661,1002895
1001317,1004180,1000063
1002422,1003536,1003534
1001141,1000184,1003549
1004679,1003880,1004592
1004271,1001808,1004502
1000648,1001226,1002081
1000595,1004951,1003413
1004453,1003736,1004884
1004214,1003804,1002427
1004837,1000056,1001803
1000524,1004431,1002612
1000911,1004940,1001631
1000562,1003862,1000678
1001820,1000277,1000215
1003915,1004330,1000323
1003057,1002260,1002087
1002451,1004172,1001260
1002064,1003545,1002027
1000763,1004713,1004670
1001398,1002301,1000391
1002966,1001674,1003957
1002183,1000361,1000059
1003136,1004505,1004625
1001767,1003829,1004066
1001165,1001578,1002378
1001101,1001859,1001895
1004467,1004844,1004538
1001201,1004161,1003136
1004796,1001771,1002855
1004947,1000991,1003635
1002987,1000898,1001294
1002808,1000228,1003556
1003658,1002828,1003026
1002104,1002905,1001251
1002762,1002376,1003584
1000857,1004186,1004975
1002251,1000605,1004925
1001526,1002405,1000152
1003616,1003134,1000164
1002978,1004271,1003806
1004507,1003754,1000006
1001763,1000663,1001217
1000813,1002072,1002839
1004592,1004031,1003559
1002538,1002741,1003000
1003695,1001342,1000798
1000266,1001435,1001518
1004983,1000449,1003081
1002702,1004049,1001577
1000944,1000467,1002214
1001911,1000023,1000839
1003791,1004354,1000917
1003279,1003079,1000460
1003966,1003142,1001562
1003049,1002114,1002057
1002625,1003390,1003599
1000694,1004962,1002494
1004923,1002782,1002647
1002254,1002298,1002591
1002939,1001598,1003834
1003405,1003811,1001000
1004250,1000739,1004163
1000558,1002318,1001637
1004558,1001899,1003471
1002401,1003743,1002112
1001161,1003454,1003165
1004933,1001720,1000846
1004216,1004002,1004962
1002353,1001986,1000062
1002323,1001133,1000797
1004307,1002547,1003231
1002752,1002496,1003495
1000495,1002682,1000173
1002361,1004293,1002627
1000083,1001454,1000275
1004677,1002586,1003317
1004908,1000746,1004582
1002777,1003086,1000703
1004502,1003834,1004682
1000743,1001027,1000709
1003300,1002908,1004701
1000998,1004744,1002016
1001317,1001472,1001962
1004000,1004993,1002604
1001961,1003497,1001555
1000341,1001199,1001468
1000407,1003949,1003955
1004086,1000500,1004771
1000154,1004806,1004067
1001783,1002334,1004853
1001626,1001297,1002154
1001975,1003942,1004280
1001015,1003398,1003484
1004567,1003735,1000409
1001359,1004326,1001575
1000695,1002586,1004485
1001258,1000566,1000546
1004927,1004497,1004355
1004856,1004611,1000831
1002262,1001491,1000704
1004081,1000902,1001248
1000796,1003109,1003376
1004044,1000217,1003987
1002360,1003069,1003967
1003726,1002796,1001914
1003236,1004442,1002598
1004478,1000522,1000488
1000294,1001767,1000850
1001992,1003551,1003937
1004635,1003869,1000672
1002090,1000976,1000879
1001122,1002678,1004647
1001371,1002753,1002945
1004384,1004214,1004342
1000297,1000778,1003106
1001816,1004405,1003467
1003081,1003758,1003621
1000760,1001242,1002823
1002558,1000675,1004599
1000841,1003317,1002334
1002578,1003505,1003639
1000894,1000789,1002473
1002806,1003203,1001303
1003514,1000404,1002290
1003509,1003348,1001349
1002150,1004856,1001435
1002107,1000915,1004174
1003842,1004686,1004507
1000951,1004989,1000770
1004592,1002041,1002790
1001689,1000325,1002626
1001402,1004436,1003413
1002084,1000871,1000949
1000422,1004433,1001000
1004181,1001268,1003665
1002954,1000569,1001812
1000068,1003172,1004984
1003525,1003996,1000240
1001844,1002640,1003640
1002617,1003379,1002667
1003122,1001935,1000199
1002716,1004360,1002988
1003193,1000718,1002443
1000131,1003089,1002321
1000818,1000257,1001962
1003619,1004398,1004223
1000419,1001578,1003660
1003477,1001494,1000314
1004265,1000232,1000250
1002591,1003449,1000543
1003855,1001258,1000693
1001234,1004825,1001714
1000823,1000521,1003614
1000110,1001788,1000225
1004565,1000154,1002419
1004526,1004966,1004607
1004440,1001728,1000324
1002375,1001617,1004482
1001278,1002461,1004574
1003428,1002134,1002257
1004756,1004459,1002482
1003139,1004830,1002891
1000619,1002658,1002795
1003269,1000623,1003831
1000903,1001310,1003799
1001434,1001268,1003667
1001449,1004734,1001588
1000344,1004034,1000118
1004994,1000206,1002672
1001206,1002387,1000860
1004379,1000519,1001426
1003723,1000812,1003411
1001415,1000280,1002873
1001511,1002138,1002791
1002293,1003427,1003949
1002614,1000461,1002193
1002729,1000918,1004378
1003753,1004345,1003155
1003395,1003335,1001275
1003670,1000692,1002986
1001579,1004881,1002127
1000338,1004919,1000187
1002061,1002105,1000951
1004753,1000217,1001951
1004098,1000804,1001082
1000557,1002473,1003416
1004404,1000565,1000481
1000502,1003810,1003248
1003724,1004577,1000015
1002689,1002367,1004895
1004849,1003173,1002740
1003466,1002786,1004783
1001699,1003665,1004086
1002541,1003380,1001440
1003216,1001964,1004192
1003920,1004518,1004841
1000783,1000667,1000359
1003736,1002444,1002234
1004967,1003452,1002089
1001313,1000187,1004263
1004914,1001103,1001828
1000057,1000917,1003662
1003255,1001951,1002239
1001539,1003399,1000791
1001800,1002290,1003097
1001731,1001963,1002172
1002254,1001734,1000523
1002728,1004063,1004007
1004155,1002245,1002648
1003758,1001316,1002781
1000419,1002761,1004579
1002435,1002759,1002688
1004759,1004256,1004816
1000521,1004422,1000870
1003490,1003566,1002387
1004563,1003176,1004160
1004440,1002447,1002104
1002137,1004358,1003950
1003208,1000305,1004911
1002146,1000641,1003371
1004309,1003947,1001782
1003471,1000189,1003396
1003038,1004144,1003739
1001969,1003919,1001034
1002842,1001213,1004800
1000172,1003241,1004384
1000380,1004693,1002370
1000786,1001631,1002030
1003227,1003632,1004717
1002985,1004365,1001772
1002299,1001845,1001944
1002848,1004643,1003688
1002384,1000408,1003276
1003963,1001599,1003053
1002082,1000361,1002853
1004012,1001157,1000437
1001455,1003215,1001204
1001108,1000583,1001188
1004522,1004062,1004316
1002352,1003133,1003344
1004825,1004427,1000247
1003617,1003419,1004831
1002784,1001271,1001460
1001401,1002679,1004679
1003861,1004247,1002972
1001714,1001414,1001859
1002621,1002239,1003244
1004223,1004822,1004723
1003312,1001730,1001322
1003156,1002052,1004699
1003014,1002719,1001499
1004035,1000407,1004769
1000769,1000572,1001701
1001536,1002057,1000942
1002180,1004908,1004056
1000775,1004226,1000129
1003428,1001894,1000594
1000487,1003386,1000441
1000916,1004523,1004209
1001102,1002547,1003556
1001408,1001771,1002468
1002803,1003159,1000362
1000127,1000689,1002456
1004225,1000037,1003212
1002505,1003602,1003055
1003616,1001170,1001553
1003937,1001878,1000693
1000160,1002850,1002137
1001863,1004269,1002562
1001311,1003893,1004999
1002171,1003733,1001096
1002827,1001078,1001203
1004619,1002878,1001738
1004803,1003601,1001767
1000093,1000424,1002218
1002868,1004937,1004844
1002880,1000898,1003778
1002152,1004254,1002018
1003689,1001321,1004448
1004324,1002155,1004217
1000584,1002923,1002923
1004120,1000395,1002270
1004818,1003307,1002590
1003948,1003188,1001247
1000182,1004525,1003883
1003443,1001975,1004932
1001529,1003129,1003688
1002884,1001187,1001901
1001493,1002950,1002065
1003933,1003895,1003837
1002842,1000596,1004165
1004407,1001632,1003011
1001086,1002091,1002867
1003311,1004192,1002321
1000033,1004836,1003403
1003510,1002867,1001662
1001455,1003512,1002639
1000925,1002904,1000546
1004870,1003288,1002003
1000908,1001481,1000628
